id,from_address,to_address,transaction_id,block_number,block_timestamp,amount,chat_id,transferred,created_at
32,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x771cd3e0d9fd8c20c8e1a366d6af268c54cf501ef93341af7cb991738b0643be',60778884,2024-08-19 13:40:30,1.000000,,t,2024-08-19 11:41:08.412952
33,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x0bd8cb0be3313d152e86edc6c9bd37b28bcf90ea0420d1f7e501c8cede0cd62f',60779105,2024-08-19 13:48:22,1.000000,,t,2024-08-19 11:49:20.163968
34,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xf2c4a97ccc793c1bd5cf1273754cbb373da6753943a266c64223eda2545246e7',60779376,2024-08-19 13:58:00,2.000000,,t,2024-08-19 11:58:32.75202
35,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xa5225fb9f277a377803eb4966d439fad85a786317be8f5b407e0e23af244cc19',60779975,2024-08-19 14:19:52,1.000000,,t,2024-08-19 12:20:19.454544
36,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xd670c67dbf1098729fc23272b4e5ddac081b782ab760a772075d40767f8b8f1f',60782029,2024-08-19 15:32:44,1.000000,,t,2024-08-19 13:33:35.743928
37,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0x9F7E1741Ee5A595481043eD409B586c2a6b0D738','0x6cf6fff25f822aed843314bfec87418fbabef7a8dec742116a3c740575c5cd2b',60865127,2024-08-21 17:18:54,1.000000,,t,2024-08-21 15:19:32.745126
38,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xaC5c318d4D56f8B069cB0AEfeE057E941A70452e','0xb232acff5a62dccafa66d45cdbbb1f13b253ac746662aa69dd5e967d61ff29df',60865199,2024-08-21 17:21:26,1.000000,,t,2024-08-21 15:24:00.724094
39,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0x254207c90Dbb1224dDD5654E7d80D15884b0B6EB','0xa366e9fbbc410961e94ff00655cc3664406b217c0020d3da693e20fdf6bf6727',60865414,2024-08-21 17:29:04,1.000000,,t,2024-08-21 15:29:29.816072
40,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xad2531F04811BB6041e8a4C4B1590DF66CCD96Eb','0x25248672632a19da58144921d6afbfe2306d4dce574e4fcfd0be78c24669a7e9',60872193,2024-08-21 21:33:07,1.000000,,t,2024-08-21 19:33:22.396569
43,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x2b198fba9b79f096fa66d300036e830ed2d623abb399ed40defb046c3f36d84c',60872579,2024-08-21 21:46:47,3.000000,,t,2024-08-21 19:47:41.657275
41,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x4e2089e271738f36948910a25f832a0643bf68fd31183c931e9a69833d4575fb',60872224,2024-08-21 21:34:13,2.000000,,t,2024-08-21 19:34:25.827992
45,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x79635d1d25364bb87b799e690577b191eba4860fa4e504b9acfde1eae7a0bc59',60873335,2024-08-21 22:13:33,2.000000,,t,2024-08-21 20:14:10.806054
47,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x192b7cbe374dc2226ab39d60c17a06f9d4d3c656b8ad4243ba00042c63110c49',60873497,2024-08-21 22:19:17,4.000000,,t,2024-08-21 20:19:23.251935
49,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xd6fcb3ceed46e0abb14e5c39bb1e93748671db019f76a7879f45cb24d1680e2a',60873627,2024-08-21 22:23:53,2.000000,,t,2024-08-21 20:24:26.171106
51,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xe1992753dbeeb9f59829fa7698b8ed2c6fb77a26a2fee69729bc451f2d521402',60893344,2024-08-22 10:04:40,1.000000,,t,2024-08-22 08:05:01.903277
54,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xB4434a7857EfaA7a4E3802b9B6AdD543A33fb47E','0x251a18bd1b63f6e9c6deae983c92e352ae36150010dd2e504ed7f355f297fb19',60893413,2024-08-22 10:07:06,0.300000,,t,2024-08-22 08:15:15.411177
55,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xd57f7ae52e0258d1cfc3c01fc946c4862eb403443780c95ee3c4f79bb1b0fdea',60893675,2024-08-22 10:16:22,2.000000,,t,2024-08-22 08:17:24.19847
57,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x4d3dabd78d3918090cafc40569a900c380683eae361fb90fbf45414eee6d1fa8',60894397,2024-08-22 10:42:00,2.000000,,t,2024-08-22 08:42:17.587882
